name,city,cuisine,rating,review_text,review_date,lat,lon,zone,num_reviews,price_range,delivery_time,menu_item_popularity
Sushi Bay,Bangalore,Indian,4.5,"Highly recommended, worth the price.",2023-09-09,12.960859697984217,77.59703795445633,Zone A,797,₹400-₹700,63,99
Taco Fiesta,Jaipur,Fast Food,5.0,Fantastic taste and super friendly staff.,2023-11-18,26.919628214339443,75.78820517438871,Zone A,625,₹1200+,73,65
Pizza Hub,Hyderabad,Chinese,5.0,"Highly recommended, worth the price.",2024-07-08,17.396207172775227,78.48669925513836,Zone A,562,₹200-₹400,36,80
Pasta Point,Pune,Italian,2.7,"It was okay, nothing special.",2024-04-12,18.529658636467556,73.84319421460695,Zone C,3076,₹700-₹1200,60,58
Pizza Hub,Kolkata,Chinese,5.0,Amazing food and great service!,2023-04-27,22.57334353898529,88.36657731216441,Zone A,2056,₹700-₹1200,73,80
Taco Fiesta,Delhi,Mediterranean,5.0,Fantastic taste and super friendly staff.,2023-03-04,28.628793214399067,77.22745300007684,Zone A,4628,₹700-₹1200,36,86
Pizza Hub,Delhi,Fast Food,5.0,"Highly recommended, worth the price.",2023-05-10,28.614867286553068,77.19439515350861,Zone B,4148,₹1200+,56,23
Grill House,Jaipur,Mediterranean,5.0,Delicious and fresh meals every time.,2024-05-21,26.927924416282185,75.78587432682428,Zone A,4548,₹200-₹400,65,90
Pizza Hub,Mumbai,Indian,3.6,"It was okay, nothing special.",2024-03-03,19.060530285466584,72.86262510412925,Zone B,687,₹1200+,24,92
Pizza Hub,Bangalore,Chinese,4.6,Delicious and fresh meals every time.,2024-08-03,12.957408516699104,77.6063635645612,Zone A,107,₹200-₹400,52,85
Spice Villa,Kolkata,Chinese,3.4,"Average place, food was fine.",2023-03-12,22.56594845870776,88.3466772340486,Zone C,268,₹700-₹1200,33,74
Sushi Bay,Chennai,Italian,5.0,Fantastic taste and super friendly staff.,2023-06-11,13.090927799519248,80.28133459826104,Zone B,343,₹200-₹400,38,37
Spice Villa,Pune,Japanese,5.0,Amazing food and great service!,2023-03-20,18.536368552011563,73.86684009336776,Zone A,3347,₹1200+,66,28
Burger Town,Jaipur,Fast Food,5.0,"Loved it, definitely coming back!",2024-03-05,26.904861964452603,75.78888359755841,Zone B,4656,₹400-₹700,20,38
Pasta Point,Kolkata,Italian,3.6,"It was okay, nothing special.",2024-09-04,22.560352063848836,88.35592222597386,Zone C,2406,₹200-₹400,67,47
Cafe Bliss,Mumbai,Japanese,5.0,Delicious and fresh meals every time.,2023-10-04,19.086673250668003,72.86355122625629,Zone A,4971,₹700-₹1200,73,62
Sushi Bay,Mumbai,Fast Food,4.7,Delicious and fresh meals every time.,2023-12-24,19.090784713922535,72.87263305484481,Zone A,974,₹200-₹400,54,66
Spice Villa,Jaipur,Chinese,2.3,Food was cold and tasteless.,2024-10-03,26.921109864059368,75.77126993852056,Zone C,4525,₹200-₹400,72,4
Sushi Bay,Mumbai,Cafe,4.3,Amazing food and great service!,2023-11-19,19.089317840462545,72.87131275773933,Zone B,2839,₹200-₹400,70,45
Grill House,Mumbai,Indian,3.2,"Average place, food was fine.",2023-12-10,19.06683125448982,72.87765220637783,Zone C,1744,₹400-₹700,50,18
Curry Corner,Jaipur,Chinese,3.9,"It was okay, nothing special.",2024-11-09,26.90724037268831,75.79970993631294,Zone B,4762,₹1200+,58,63
Cafe Bliss,Jaipur,Fast Food,3.7,"It was okay, nothing special.",2024-06-22,26.899145698852287,75.79675918426433,Zone B,2941,₹400-₹700,44,12
Curry Corner,Chennai,Mexican,5.0,"Loved it, definitely coming back!",2023-11-04,13.090044633225292,80.26856551292472,Zone A,2098,₹400-₹700,47,87
Spice Villa,Bangalore,Italian,5.0,Fantastic taste and super friendly staff.,2023-02-21,12.97056411046997,77.59265211327785,Zone A,3420,₹400-₹700,33,22
Taco Fiesta,Chennai,Italian,5.0,Fantastic taste and super friendly staff.,2023-05-21,13.093823598325052,80.26187456129102,Zone A,4213,₹200-₹400,70,36
Taco Fiesta,Chennai,Japanese,4.2,"Highly recommended, worth the price.",2024-05-19,13.089190390799667,80.27352631495145,Zone B,2972,₹1200+,71,22
Sushi Bay,Bangalore,Italian,4.7,"Highly recommended, worth the price.",2024-01-31,12.96187200918933,77.58601558415255,Zone B,2055,₹700-₹1200,60,61
Spice Villa,Chennai,Japanese,3.4,Just an ordinary meal.,2023-09-21,13.099438812869002,80.27132534996652,Zone C,2193,₹1200+,75,27
Cafe Bliss,Bangalore,Fast Food,3.3,"Average place, food was fine.",2023-12-02,12.987424812433689,77.57822250768801,Zone C,2271,₹200-₹400,62,38
Taco Fiesta,Pune,Mexican,4.2,"Highly recommended, worth the price.",2023-10-16,18.501261003226332,73.8399872012163,Zone B,2995,₹400-₹700,33,90
Sushi Bay,Hyderabad,Cafe,5.0,Amazing food and great service!,2024-01-26,17.404715859563048,78.48593082169391,Zone A,1844,₹200-₹400,41,72
Curry Corner,Pune,Japanese,4.7,"Loved it, definitely coming back!",2024-03-23,18.501160032066185,73.84979816878634,Zone A,2226,₹400-₹700,62,74
Burger Town,Kolkata,Fast Food,3.2,"Decent experience, could be better.",2024-07-21,22.55597787205027,88.34712800258646,Zone C,685,₹1200+,62,27
Sushi Bay,Jaipur,Mediterranean,5.0,Delicious and fresh meals every time.,2024-12-07,26.917194706114167,75.80579824895608,Zone A,2676,₹400-₹700,22,25
Pizza Hub,Pune,Mexican,4.6,"Loved it, definitely coming back!",2024-09-01,18.518327728722042,73.84173375692298,Zone B,2242,₹1200+,40,45
Curry Corner,Bangalore,Japanese,3.0,Just an ordinary meal.,2024-05-06,12.959618930686402,77.58550103153637,Zone C,2896,₹200-₹400,54,15
Pizza Hub,Hyderabad,Chinese,5.0,Fantastic taste and super friendly staff.,2023-07-10,17.38664769200499,78.49169189389599,Zone A,1144,₹1200+,28,96
Pizza Hub,Kolkata,Fast Food,4.8,Fantastic taste and super friendly staff.,2024-06-26,22.582649678282472,88.34484090046884,Zone A,2830,₹200-₹400,67,14
Pizza Hub,Jaipur,Italian,4.5,Amazing food and great service!,2024-09-04,26.90388483762695,75.80574686543653,Zone B,303,₹200-₹400,46,63
Royal Biryani,Kolkata,Japanese,5.0,"Loved it, definitely coming back!",2023-07-10,22.561890352716272,88.3519219850073,Zone B,840,₹400-₹700,37,68
Royal Biryani,Chennai,Italian,4.5,Delicious and fresh meals every time.,2023-04-20,13.089932981559917,80.28580081480169,Zone B,3681,₹200-₹400,32,3
Spice Villa,Pune,Mediterranean,4.6,"Loved it, definitely coming back!",2024-03-24,18.534914135795376,73.8730898028062,Zone B,2029,₹400-₹700,69,36
Pasta Point,Bangalore,Mediterranean,5.0,Amazing food and great service!,2023-05-18,12.96172399909456,77.57694496176367,Zone A,4774,₹1200+,50,24
Royal Biryani,Mumbai,Italian,4.7,Fantastic taste and super friendly staff.,2023-05-18,19.083901477826455,72.89070851248987,Zone A,3577,₹200-₹400,48,12
Pizza Hub,Pune,Indian,1.3,Would not recommend to anyone.,2023-09-25,18.515510890126365,73.86160960010037,Zone C,2984,₹400-₹700,61,56
Royal Biryani,Pune,Cafe,2.9,"It was okay, nothing special.",2023-04-05,18.531920089294236,73.84681484763702,Zone C,2906,₹200-₹400,73,12
Pizza Hub,Pune,Mexican,3.1,"Neutral taste, ambience was normal.",2024-05-04,18.5082445100099,73.85039718703968,Zone C,2489,₹700-₹1200,26,51
Pizza Hub,Mumbai,Italian,3.6,"Average place, food was fine.",2024-07-31,19.089232450556366,72.86137752986845,Zone B,4139,₹700-₹1200,65,41
Sushi Bay,Mumbai,Japanese,4.4,"Loved it, definitely coming back!",2024-05-24,19.0821183067326,72.85847138018364,Zone B,945,₹1200+,37,29
Grill House,Pune,Mediterranean,5.0,"Highly recommended, worth the price.",2024-08-28,18.517494034208237,73.85726859735948,Zone A,2870,₹700-₹1200,69,39
Curry Corner,Jaipur,Cafe,5.0,"Highly recommended, worth the price.",2023-04-01,26.91391023386441,75.78548105279725,Zone A,4863,₹1200+,68,62
Sushi Bay,Hyderabad,Japanese,5.0,"Loved it, definitely coming back!",2023-10-31,17.375983572178274,78.47414830897645,Zone A,728,₹400-₹700,40,21
Cafe Bliss,Jaipur,Japanese,4.9,Delicious and fresh meals every time.,2023-06-23,26.931937013971325,75.78177395237604,Zone A,4679,₹200-₹400,69,33
Grill House,Jaipur,Italian,4.2,"Highly recommended, worth the price.",2023-10-03,26.90222778471192,75.7930954399753,Zone B,3331,₹700-₹1200,31,11
Spice Villa,Kolkata,Japanese,4.4,Amazing food and great service!,2024-02-11,22.579934176350854,88.34568089856538,Zone B,2681,₹1200+,44,89
Spice Villa,Chennai,Mediterranean,4.5,Fantastic taste and super friendly staff.,2023-06-22,13.083613018311073,80.28527449196987,Zone B,3584,₹200-₹400,46,20
Cafe Bliss,Mumbai,Fast Food,3.6,Just an ordinary meal.,2023-11-14,19.06562306835904,72.87269005727916,Zone C,3902,₹1200+,46,25
Grill House,Bangalore,Japanese,5.0,Fantastic taste and super friendly staff.,2023-08-13,12.990711846612047,77.58832351057582,Zone A,2526,₹700-₹1200,34,22
Pizza Hub,Hyderabad,Chinese,4.6,Fantastic taste and super friendly staff.,2023-02-19,17.36657589313441,78.49270391894028,Zone B,4281,₹700-₹1200,57,23
Spice Villa,Pune,Japanese,2.6,Just an ordinary meal.,2024-12-14,18.510694537557743,73.85639550458816,Zone C,2570,₹1200+,61,14
Pizza Hub,Hyderabad,Japanese,3.6,"Neutral taste, ambience was normal.",2023-01-10,17.37929082647346,78.49015555381197,Zone C,670,₹200-₹400,69,64
Burger Town,Hyderabad,Indian,4.9,"Loved it, definitely coming back!",2024-10-20,17.391840259957878,78.47032807068585,Zone B,643,₹200-₹400,20,18
Curry Corner,Delhi,Cafe,3.4,"It was okay, nothing special.",2024-09-29,28.597186849291955,77.19390821121927,Zone C,1758,₹700-₹1200,25,51
Taco Fiesta,Jaipur,Italian,5.0,Amazing food and great service!,2024-08-03,26.907995195583215,75.8064174660481,Zone B,2272,₹400-₹700,45,45
Pasta Point,Hyderabad,Italian,3.9,"Neutral taste, ambience was normal.",2023-03-31,17.39274586153726,78.49786602576177,Zone B,490,₹200-₹400,58,44
Taco Fiesta,Bangalore,Japanese,4.3,"Highly recommended, worth the price.",2023-01-06,12.972889421560632,77.58925100782615,Zone B,1367,₹700-₹1200,57,17
Sushi Bay,Kolkata,Cafe,4.7,"Highly recommended, worth the price.",2024-09-14,22.562021715988237,88.34501696742409,Zone B,936,₹700-₹1200,52,41
Burger Town,Bangalore,Italian,3.3,Just an ordinary meal.,2023-09-25,12.982902473513525,77.57482078398401,Zone C,4888,₹400-₹700,49,92
Pizza Hub,Bangalore,Cafe,4.0,Fantastic taste and super friendly staff.,2023-04-03,12.953251300415607,77.58015228171182,Zone C,3218,₹200-₹400,60,79
Royal Biryani,Jaipur,Indian,3.9,"It was okay, nothing special.",2023-01-24,26.91886665162872,75.7738537352384,Zone B,4944,₹1200+,53,55
Grill House,Pune,Japanese,4.4,"Highly recommended, worth the price.",2024-01-15,18.503496591354907,73.83831374100073,Zone A,2107,₹200-₹400,67,66
Royal Biryani,Hyderabad,Indian,5.0,Fantastic taste and super friendly staff.,2023-12-04,17.38242680704134,78.48230977162035,Zone A,1170,₹400-₹700,28,56
Cafe Bliss,Chennai,Mexican,4.6,Delicious and fresh meals every time.,2024-05-25,13.084095585802734,80.27177921597689,Zone B,4080,₹700-₹1200,54,62
Curry Corner,Chennai,Fast Food,5.0,Amazing food and great service!,2023-03-19,13.070768257857374,80.26938087425782,Zone B,975,₹1200+,54,93
Sushi Bay,Chennai,Chinese,5.0,Delicious and fresh meals every time.,2024-10-27,13.077005703827208,80.26737698052607,Zone A,3221,₹400-₹700,28,16
Sushi Bay,Pune,Mediterranean,2.9,"Average place, food was fine.",2024-03-22,18.52429339479553,73.8409824328975,Zone C,822,₹400-₹700,68,14
Pizza Hub,Chennai,Indian,5.0,"Highly recommended, worth the price.",2023-10-06,13.100039064838898,80.25872785245309,Zone B,2008,₹400-₹700,74,38
Curry Corner,Delhi,Mediterranean,3.5,"Neutral taste, ambience was normal.",2023-03-24,28.598853739468645,77.19926970805598,Zone C,1328,₹400-₹700,23,100
Grill House,Chennai,Cafe,3.4,"Neutral taste, ambience was normal.",2023-08-15,13.075562182632599,80.28783069465003,Zone B,4515,₹1200+,37,57
Cafe Bliss,Kolkata,Mexican,5.0,"Loved it, definitely coming back!",2023-07-31,22.57318207980703,88.34618604926814,Zone A,3540,₹200-₹400,40,57
Spice Villa,Delhi,Mexican,5.0,"Highly recommended, worth the price.",2023-08-24,28.61758234844685,77.20792166025058,Zone C,1621,₹200-₹400,30,1
Burger Town,Jaipur,Cafe,3.2,"It was okay, nothing special.",2024-07-12,26.90064665523342,75.78160462312638,Zone C,2270,₹1200+,56,50
Cafe Bliss,Mumbai,Chinese,3.4,"It was okay, nothing special.",2023-01-30,19.064804697017422,72.88551644036913,Zone B,4552,₹400-₹700,37,58
Pasta Point,Kolkata,Cafe,5.0,"Loved it, definitely coming back!",2023-04-08,22.55486581525291,88.34805908950558,Zone A,4274,₹1200+,28,90
Curry Corner,Chennai,Mediterranean,3.1,Just an ordinary meal.,2023-02-27,13.074830721082721,80.26055839662129,Zone C,829,₹1200+,74,32
Spice Villa,Jaipur,Japanese,3.5,"It was okay, nothing special.",2023-07-29,26.91705010113513,75.7969277216425,Zone C,1937,₹700-₹1200,75,100
Sushi Bay,Chennai,Fast Food,5.0,Amazing food and great service!,2023-11-18,13.079494259789799,80.27373519172802,Zone A,2858,₹700-₹1200,55,62
Taco Fiesta,Pune,Indian,5.0,Delicious and fresh meals every time.,2023-03-29,18.539079619663543,73.85613603347173,Zone A,1867,₹400-₹700,57,18
Pizza Hub,Hyderabad,Fast Food,4.9,Delicious and fresh meals every time.,2023-03-10,17.39540829612477,78.48182285804873,Zone B,1151,₹400-₹700,49,57
Curry Corner,Bangalore,Italian,4.5,"Highly recommended, worth the price.",2023-07-06,12.98280637723844,77.59460891023419,Zone A,2435,₹400-₹700,37,80
Cafe Bliss,Jaipur,Chinese,3.1,"Decent experience, could be better.",2024-04-04,26.931401856486787,75.77083066372026,Zone C,2470,₹1200+,62,57
Royal Biryani,Bangalore,Italian,4.2,"Highly recommended, worth the price.",2023-11-23,12.96779906341693,77.59481169962123,Zone B,3858,₹400-₹700,47,7
Spice Villa,Mumbai,Mediterranean,3.6,"Average place, food was fine.",2024-07-11,19.05957524685234,72.87246421434133,Zone B,3197,₹200-₹400,59,40
Taco Fiesta,Mumbai,Indian,4.9,"Loved it, definitely coming back!",2023-02-27,19.08932859842357,72.89678733468038,Zone A,3088,₹400-₹700,27,28
Spice Villa,Hyderabad,Cafe,3.2,"Decent experience, could be better.",2024-01-15,17.37244460187876,78.4823251693991,Zone C,4731,₹1200+,34,75
Pasta Point,Jaipur,Fast Food,3.4,Just an ordinary meal.,2023-07-25,26.919160932744003,75.78284529552732,Zone C,3048,₹1200+,40,87
Pasta Point,Delhi,Cafe,2.5,Just an ordinary meal.,2023-02-20,28.604121702347868,77.19155813116099,Zone C,1110,₹200-₹400,65,92
Taco Fiesta,Delhi,Indian,4.0,Delicious and fresh meals every time.,2023-09-23,28.605461677923046,77.22826078420789,Zone C,3828,₹400-₹700,22,23
Sushi Bay,Hyderabad,Indian,3.9,"Decent experience, could be better.",2024-12-02,17.369395296598093,78.49197108722807,Zone C,3135,₹700-₹1200,56,98
Royal Biryani,Jaipur,Mexican,5.0,Fantastic taste and super friendly staff.,2024-10-24,26.914573015112992,75.8015937036798,Zone A,2228,₹200-₹400,20,14
Spice Villa,Delhi,Cafe,4.0,"Highly recommended, worth the price.",2024-09-18,28.599281598331885,77.21261495031243,Zone B,4915,₹200-₹400,24,24
Burger Town,Delhi,Fast Food,4.8,Delicious and fresh meals every time.,2023-06-15,28.60169338301616,77.2245066511062,Zone A,1004,₹200-₹400,51,57
Pasta Point,Hyderabad,Italian,3.9,"Decent experience, could be better.",2023-01-06,17.38536072933922,78.469857977996,Zone C,726,₹700-₹1200,43,76
Taco Fiesta,Bangalore,Italian,3.6,"It was okay, nothing special.",2024-06-29,12.97431765540124,77.58278039289327,Zone C,4457,₹400-₹700,69,17
Cafe Bliss,Bangalore,Indian,5.0,"Loved it, definitely coming back!",2024-12-10,12.990376219449333,77.5783028702632,Zone A,4142,₹400-₹700,46,95
Burger Town,Jaipur,Chinese,3.6,"It was okay, nothing special.",2024-08-13,26.902105348016303,75.77638912395115,Zone C,3526,₹1200+,60,59
Royal Biryani,Chennai,Cafe,3.9,Just an ordinary meal.,2024-03-31,13.070530290667225,80.26681401685727,Zone C,2278,₹1200+,42,57
Spice Villa,Chennai,Cafe,2.6,"Neutral taste, ambience was normal.",2024-04-19,13.095473599236316,80.28424471602281,Zone C,931,₹400-₹700,63,78
Grill House,Mumbai,Mexican,4.2,Amazing food and great service!,2024-06-17,19.09389427515146,72.8690521462891,Zone B,3166,₹700-₹1200,50,70
Grill House,Mumbai,Mediterranean,5.0,Amazing food and great service!,2024-07-28,19.083897441536536,72.89665818256931,Zone A,1127,₹1200+,20,18
Royal Biryani,Bangalore,Mexican,3.3,"It was okay, nothing special.",2024-03-18,12.967005997513752,77.58910029469547,Zone B,1262,₹200-₹400,63,42
Taco Fiesta,Hyderabad,Mediterranean,5.0,Delicious and fresh meals every time.,2023-10-10,17.37753394100157,78.50128297440932,Zone B,2111,₹700-₹1200,25,24
Taco Fiesta,Bangalore,Mexican,5.0,"Highly recommended, worth the price.",2023-06-24,12.98902771447081,77.60822840237576,Zone A,4668,₹200-₹400,30,36
Spice Villa,Bangalore,Japanese,3.3,"Decent experience, could be better.",2023-03-31,12.980352078252983,77.59554879992523,Zone C,3835,₹400-₹700,69,36
Taco Fiesta,Kolkata,Fast Food,5.0,"Loved it, definitely coming back!",2023-10-08,22.55575907914055,88.35896675881366,Zone B,2237,₹1200+,59,56
Cafe Bliss,Kolkata,Mexican,5.0,Fantastic taste and super friendly staff.,2023-02-01,22.57133417837525,88.36619335737214,Zone A,3513,₹200-₹400,54,17
Sushi Bay,Bangalore,Mexican,5.0,"Loved it, definitely coming back!",2024-01-13,12.97060802839013,77.61344047297071,Zone A,961,₹700-₹1200,65,45
Curry Corner,Mumbai,Mexican,4.4,"Loved it, definitely coming back!",2024-06-11,19.0672126269093,72.89134720861374,Zone B,3652,₹400-₹700,50,63
Royal Biryani,Delhi,Fast Food,3.9,"Neutral taste, ambience was normal.",2023-06-10,28.62250431085365,77.20384591484151,Zone C,3121,₹700-₹1200,21,86
Taco Fiesta,Hyderabad,Cafe,3.2,"Decent experience, could be better.",2024-11-07,17.38928079457838,78.50339236715672,Zone B,4996,₹700-₹1200,52,11
Curry Corner,Chennai,Italian,5.0,Amazing food and great service!,2024-11-09,13.097999858534498,80.25970188334244,Zone A,2491,₹400-₹700,25,99
Burger Town,Mumbai,Japanese,3.4,"Neutral taste, ambience was normal.",2024-02-15,19.089599963509652,72.89029850333252,Zone C,202,₹200-₹400,30,34
Pasta Point,Pune,Cafe,3.7,"It was okay, nothing special.",2024-04-30,18.52943110230688,73.84254680344176,Zone C,1699,₹200-₹400,58,17
Pizza Hub,Jaipur,Mediterranean,5.0,"Loved it, definitely coming back!",2024-11-09,26.89906436151847,75.77805805080519,Zone A,1836,₹200-₹400,52,35
Burger Town,Delhi,Fast Food,2.9,"It was okay, nothing special.",2023-03-08,28.60015319173037,77.19583401763639,Zone C,4373,₹400-₹700,26,83
Burger Town,Kolkata,Mexican,5.0,"Loved it, definitely coming back!",2025-01-01,22.55403632138352,88.34505634439716,Zone B,3884,₹700-₹1200,73,69
Grill House,Bangalore,Mexican,3.3,"It was okay, nothing special.",2023-10-05,12.98398547586893,77.58955745869362,Zone B,877,₹200-₹400,23,40
Royal Biryani,Hyderabad,Mexican,4.8,Fantastic taste and super friendly staff.,2023-10-19,17.372398217733576,78.49480345149146,Zone B,2467,₹200-₹400,74,76
Royal Biryani,Mumbai,Indian,3.8,"Decent experience, could be better.",2024-04-02,19.061392283289923,72.88291756542655,Zone C,3877,₹700-₹1200,72,52
Curry Corner,Chennai,Indian,5.0,Fantastic taste and super friendly staff.,2024-05-12,13.095011159272376,80.25360923152039,Zone A,770,₹400-₹700,61,80
Grill House,Jaipur,Fast Food,5.0,Delicious and fresh meals every time.,2024-02-29,26.91435646307295,75.79290866007572,Zone A,2770,₹1200+,29,63
Burger Town,Hyderabad,Cafe,3.7,Just an ordinary meal.,2024-04-20,17.38359980717665,78.47418547009926,Zone C,3702,₹400-₹700,48,99
Pasta Point,Delhi,Mediterranean,5.0,Delicious and fresh meals every time.,2024-11-27,28.633861960007188,77.21840773480064,Zone B,4002,₹200-₹400,66,75
Burger Town,Pune,Indian,4.9,Amazing food and great service!,2023-10-04,18.515783296515455,73.84305675847573,Zone B,3607,₹1200+,59,18
Spice Villa,Hyderabad,Chinese,5.0,"Loved it, definitely coming back!",2023-11-02,17.39429282566547,78.48417934935851,Zone A,396,₹200-₹400,26,9
Sushi Bay,Kolkata,Mediterranean,5.0,Delicious and fresh meals every time.,2023-09-22,22.56872866615704,88.34897618825744,Zone A,3186,₹200-₹400,64,56
Burger Town,Mumbai,Italian,3.1,"Average place, food was fine.",2024-01-28,19.086839894649405,72.87678280088811,Zone B,2054,₹700-₹1200,72,35
Spice Villa,Hyderabad,Indian,5.0,"Highly recommended, worth the price.",2023-04-19,17.392350941462464,78.4968208870599,Zone A,4648,₹200-₹400,22,94
Pizza Hub,Bangalore,Mexican,4.4,Amazing food and great service!,2024-11-28,12.99058005439235,77.59051102939462,Zone B,621,₹200-₹400,50,26
Spice Villa,Jaipur,Cafe,4.8,Delicious and fresh meals every time.,2024-06-28,26.90812017257156,75.77836998274267,Zone B,1820,₹400-₹700,61,86
Pasta Point,Delhi,Mexican,5.0,Fantastic taste and super friendly staff.,2023-03-24,28.597357106426056,77.22514449096015,Zone A,466,₹400-₹700,27,61
Grill House,Pune,Italian,4.6,Fantastic taste and super friendly staff.,2023-08-26,18.511830587177144,73.83974352451065,Zone B,1577,₹700-₹1200,41,25
Grill House,Bangalore,Italian,3.0,Just an ordinary meal.,2023-04-13,12.956972528017289,77.57824944000885,Zone B,3587,₹700-₹1200,38,34
Curry Corner,Hyderabad,Fast Food,5.0,Amazing food and great service!,2023-02-28,17.390605122159826,78.4815154987621,Zone A,27,₹1200+,62,9
Burger Town,Chennai,Mediterranean,4.1,Delicious and fresh meals every time.,2024-09-03,13.07257725386442,80.28650489260916,Zone B,2236,₹700-₹1200,65,66
Sushi Bay,Delhi,Chinese,5.0,Delicious and fresh meals every time.,2023-12-11,28.62031690311086,77.20899567996729,Zone A,847,₹700-₹1200,37,49
